"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","9494","Search pptx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifypptxfileSearch"
"verify company login","1604","CompanyLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6855","Search dwg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","7084","Search tiff in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","7112","Search dxf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifydxfleSearch"
"Verify that all required icons and links are visible on the main dashboard.","2705","Verify Homepage Icons","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","6422","Search docx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifydocxfileSearch"
"Verify that the search bar is working and the result is loading.","8136","Search jpg in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","8106","Search a3dasm in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that the attribute search is working and the result is loading.","30054","attributesearch","Default Suite","2026-05-06","broken","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","7780","Search pdf in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifyfileSearch"
"verify user login","160","userLogin","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","userLogin"
"Verify that the search bar is working and the result is loading.","7302","Search xlsx in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6613","Search a3dprt in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6798","Search csv in searchbar","Default Suite","2026-05-06","passed","2026-05-06","testclasses.HomepageTest","TestNGTest-f5c7f979-1adc-4f52-b634-e9cb94700c3c","testclasses.HomepageTest","verifycsvfileSearch"
